alias : Has no manual entry
apropos : Was not written by Stallman
apt-get : Was not written by Stallman
aptitude : Is not a valid command
aspell : Is not a valid command
awk : Was not written by Stallman
basename : Was not written by Stallman
bash : Was not written by Stallman
bc : Is not a valid command
bg : Has no manual entry
bind : Was not written by Stallman
break : Was not written by Stallman
builtin : Has no manual entry
bzip2 : Was not written by Stallman
cal : Was not written by Stallman
case : Has no manual entry
    AUTHOR
    Written by Torbjorn Granlund and Richard M. Stallman.
    
cat : Was written by Stallman!
cd : Has no manual entry
cfdisk : Was not written by Stallman
chattr : Was not written by Stallman
chgrp : Was not written by Stallman
chmod : Was not written by Stallman
chown : Was not written by Stallman
chroot : Was not written by Stallman
chkconfig : Is not a valid command
cksum : Was not written by Stallman
clear : Was not written by Stallman
cmp : Was not written by Stallman
    AUTHOR
    Written by Richard M. Stallman and David MacKenzie.
    
comm : Was written by Stallman!
command : Has no manual entry
continue : Has no manual entry
cp : Was not written by Stallman
cron : Was not written by Stallman
crontab : Was not written by Stallman
csplit : Was not written by Stallman
curl : Was not written by Stallman
cut : Was not written by Stallman
date : Was not written by Stallman
dc : Is not a valid command
dd : Was not written by Stallman
ddrescue : Is not a valid command
declare : Was not written by Stallman
df : Was not written by Stallman
    AUTHOR
    Written by Paul Eggert, Mike Haertel, David Hayes, Richard Stallman, and Len Tower.
    
diff : Was written by Stallman!
diff3 : Was not written by Stallman
dig : Was not written by Stallman
    AUTHOR
    Written by Richard M. Stallman and David MacKenzie.
    
dir : Was written by Stallman!
dircolors : Was not written by Stallman
dirname : Was not written by Stallman
dirs : Has no manual entry
dmesg : Was not written by Stallman
du : Was not written by Stallman
echo : Was not written by Stallman
egrep : Was not written by Stallman
eject : Was not written by Stallman
enable : Has no manual entry
env : Was not written by Stallman
ethtool : Is not a valid command
eval : Has no manual entry
exec : Was not written by Stallman
exit : Was not written by Stallman
expect : Is not a valid command
expand : Was not written by Stallman
export : Has no manual entry
expr : Was not written by Stallman
false : Was not written by Stallman
fdformat : Was not written by Stallman
fdisk : Was not written by Stallman
fg : Has no manual entry
fgrep : Was not written by Stallman
file : Was not written by Stallman
find : Was not written by Stallman
fmt : Was not written by Stallman
fold : Was not written by Stallman
for : Has no manual entry
format : Is not a valid command
free : Was not written by Stallman
fsck : Was not written by Stallman
ftp : Is not a valid command
function : Has no manual entry
fuser : Was not written by Stallman
gawk : Was not written by Stallman
getopts : Has no manual entry
grep : Was not written by Stallman
groupadd : Was not written by Stallman
groupdel : Was not written by Stallman
groupmod : Was not written by Stallman
groups : Was not written by Stallman
gzip : Was not written by Stallman
hash : Was not written by Stallman
head : Was not written by Stallman
help : Has no manual entry
history : Was not written by Stallman
hostname : Was not written by Stallman
htop : Was not written by Stallman
iconv : Was not written by Stallman
id : Was not written by Stallman
if : Has no manual entry
ifconfig : Was not written by Stallman
ifdown : Was not written by Stallman
ifup : Was not written by Stallman
import : Is not a valid command
install : Was not written by Stallman
iostat : Is not a valid command
ip : Was not written by Stallman
jobs : Has no manual entry
join : Was not written by Stallman
kill : Was not written by Stallman
killall : Was not written by Stallman
less : Was not written by Stallman
let : Has no manual entry
link : Was not written by Stallman
ln : Was not written by Stallman
local : Has no manual entry
locate : Was not written by Stallman
